Name,Price,Image URL
New Olesoft Max Cream 150gm,₹478,https://cdn01.pharmeasy.in/dam/products_otc/I42507/new-olesoft-max-cream-150gm-2-1692251580.jpg?dim=700x0&dpr=1&q=100
Brinton Uv Doux Spf 30 Sunscreen Lotion 50ml,₹579,https://cdn01.pharmeasy.in/dam/products_otc/H43189/uv-doux-spf-30-sunscreen-lotion-50ml-2-1691044845.jpg?dim=700x0&dpr=1&q=100
Moiste Aloe Vera Moisturizing Cream - Pack Of 2,₹303,https://cdn01.pharmeasy.in/dam/products_otc/O56437/moiste-aloe-vera-moisturizing-cream-pack-of-2-2-1673332832.jpg?dim=700x0&dpr=1&q=100
Maxrich-P Lotion 250ml,₹615,https://cdn01.pharmeasy.in/dam/products_otc/N89200/maxrich-p-lotion-250ml-2-1653471118.jpg?dim=700x0&dpr=1&q=100
Ahaglow Advanced Tube Of 100gm Face Wash Gel,₹565,https://cdn01.pharmeasy.in/dam/products_otc/L02209/ahaglow-advanced-tube-of-100gm-face-wash-gel-2-1692250093.jpg?dim=700x0&dpr=1&q=100
Boroline Dry Skin Combo|Antiseptic Cream 40gmx2|Ultrasmooth Cream 40gmx2,N/A,https://cdn01.pharmeasy.in/dam/products_otc/Q47562/boroline-dry-skin-comboantiseptic-cream-40gmx2ultrasmooth-cream-40gmx2bo-body-lotion-trial-7mlx2-2-1677244716.jpg?dim=700x0&dpr=1&q=100
Kapiva Aloe Vera Skin Gel (Healthy Moisturizer) -150 Grams,₹135,https://cdn01.pharmeasy.in/dam/products_otc/J05921/kapiva-aloe-vera-skin-gel-healthy-moisturizer-150-grams-2-1722492440.jpg?dim=700x0&dpr=1&q=100
Suncros Soft Lotion 60 Ml,₹875,https://cdn01.pharmeasy.in/dam/products_otc/I27122/suncros-soft-lotion-60-ml-1-1669710525.jpg?dim=700x0&dpr=1&q=100
Brinton Uv Doux Spf 50 Pa+++ Mineral Based Sunscreen Gel With No White Cast - 50g,₹878,https://cdn01.pharmeasy.in/dam/products_otc/B00269/brinton-uv-doux-spf-50-pa-mineral-based-sunscreen-gel-with-no-white-cast-50g-2-1722337873.jpg?dim=700x0&dpr=1&q=100
Maxrich Intensive Moisturing Cream Tube Of 150,₹525,https://cdn01.pharmeasy.in/dam/products_otc/I13920/maxrich-intensive-moisturing-cream-tube-of-150-2-1669710117.jpg?dim=700x0&dpr=1&q=100
Moisturex Hydra Daily Face Moisturizer Novel Gel Cream 50 Ml,₹420,https://cdn01.pharmeasy.in/dam/products_otc/Y18694/moisturex-hydra-daily-face-moisturizer-novel-gel-cream-50-ml-1-1671744402.jpg?dim=700x0&dpr=1&q=100
Physiogel Daily Moisture Therapy Tube Of 75gm Cream,₹740,https://cdn01.pharmeasy.in/dam/products_otc/O88124/physiogel-daily-moisture-therapy-tube-of-75gm-cream-1-1688714288.jpg?dim=700x0&dpr=1&q=100
Himalaya Purifying Neem Face Wash | 400 Ml,₹599,https://cdn01.pharmeasy.in/dam/products_otc/K97621/himalaya-purifying-neem-face-wash-400-ml-2-1674204139.jpg?dim=700x0&dpr=1&q=100
New Neutrogena Ultra Sheer Dry Touch Spf 50+ Pa++++ Water And Sweat Resistant Tube Of 80gm Sunscreen,₹780,https://cdn01.pharmeasy.in/dam/products_otc/O33348/neutrogena-ultra-sheer-dry-touch-spf-50-pa-water-and-sweat-resistant-tube-of-80gm-sunscreen-2-1696589419.jpg?dim=700x0&dpr=1&q=100
Sunmate Spf 30 Plus Tube Of 50gm Gel Cream,₹799,https://cdn01.pharmeasy.in/dam/products_otc/264224/sunmate-spf-30-plus-tube-of-50gm-gel-cream-1-1671741019.jpg?dim=700x0&dpr=1&q=100
Glymax Soap 75gm,N/A,https://cdn01.pharmeasy.in/dam/products_otc/264508/glymax-soap-75gm-1-1671740960.jpg?dim=700x0&dpr=1&q=100
Cerave Moisturizing Cream For Dry To Very Dry Skin - 454gm,₹1800,https://cdn01.pharmeasy.in/dam/products_otc/S65907/cerave-moisturizing-cream-for-dry-to-very-dry-skin-454gm-6.01-1701424985.jpg?dim=700x0&dpr=1&q=100
Ahaglow S Bottle Of 60ml Foaming Face Wash,₹614,https://cdn01.pharmeasy.in/dam/products/244866/ahaglow-s-bottle-of-60ml-foaming-face-wash-1-1703468613.jpg?dim=700x0&dpr=1&q=100
Cetaphil Gentle Foaming Cleanser - 236ml,₹990,https://cdn01.pharmeasy.in/dam/products_otc/S47187/cetaphil-gentle-foaming-cleanser-236ml-2-1654255958.jpg?dim=700x0&dpr=1&q=100
Nivea Men Body Wash | Pure Impact Shower Gel For Body | Face & Hair | 500 Ml,₹549,https://cdn01.pharmeasy.in/dam/products_otc/L76969/nivea-men-body-wash-pure-impact-shower-gel-for-body-face-hair-500-ml-2-1679411412.jpg?dim=700x0&dpr=1&q=100
Tedibar Bathing Bar 75g Pack Of 2 (Soap Free For Sensitive Skin),₹398,https://cdn01.pharmeasy.in/dam/products_otc/A13457/tedibar-bathing-bar-75g-pack-of-2-soap-free-for-sensitive-skin-6.1-1697114841.jpg?dim=700x0&dpr=1&q=100
Venusia Moisturizing Bathing Soap With Shea & Aloe Butter Hydrated & Supple Skin Ph Balanced 75g,₹248.5,https://cdn01.pharmeasy.in/dam/products_otc/180462/venusia-moisturizing-bathing-soap-with-shea-aloe-butter-hydrated-supple-skin-ph-balanced-75g-1-1671740848.jpg?dim=700x0&dpr=1&q=100
Brinton Uv Doux Gold Spf50 Sunscreen Gel 50gm,₹1080,https://cdn01.pharmeasy.in/dam/products_otc/I35718/uv-doux-gold-spf50-sunscreen-gel-50gm-2-1691044857.jpg?dim=700x0&dpr=1&q=100
