name,price,image_URL
Pee Safe Sanitary Pads Quarterly Subscription Box - 32 Pads (18 Overnight & 14 Regular),₹799,https://cdn01.pharmeasy.in/dam/products_otc/M93151/pee-safe-sanitary-pads-quarterly-subscription-box-32-pads-18-overnight-14-regular-2-1632780071.jpg?dim=700x0&dpr=1&q=100
Skore Strawberry Lubricant Bottle Of 50 Ml,₹300,https://cdn01.pharmeasy.in/dam/products_otc/I38171/skore-strawberry-lubricant-bottle-of-50-ml-2-1669710468.jpg?dim=700x0&dpr=1&q=100
Kamasutra Aloe Vera Water Based Lubricant Bottle Of 50 Ml,₹299,https://cdn01.pharmeasy.in/dam/products_otc/I38547/kamasutra-aloe-vera-water-based-lubricant-bottle-of-50-ml-2-1669710741.jpg?dim=700x0&dpr=1&q=100
Vigini Erase Stretch Marks Removal Cream & Bust Firming Massage Cream 200ml,₹900,https://cdn01.pharmeasy.in/dam/products_otc/Z55275/vigini-erase-stretch-marks-removal-cream-bust-firming-massage-cream-200ml-2-1670994854.jpg?dim=700x0&dpr=1&q=100
Equalstwo Anti Stretch Mark Oil 200ml,₹1449,https://cdn01.pharmeasy.in/dam/products_otc/N89117/equalstwo-anti-stretch-mark-oil-200ml-2-1709882136.jpg?dim=700x0&dpr=1&q=100
"Everteen Xxl Sanitary Napkin Pads With Cottony-Soft Top Layer For Women 4 Packs, 320mm",₹1596,https://cdn01.pharmeasy.in/dam/products_otc/F63003/everteen-xxl-sanitary-napkin-pads-with-cottony-soft-top-layer-for-women-4-packs-320mm-2-1695795395.jpg?dim=700x0&dpr=1&q=100
Pee Safe Toilet Seat Sanitizer Spray (75ml - Pack Of 2) - Mint|Kills 99.9% Germs & Travel Friendly,₹360,https://cdn01.pharmeasy.in/dam/products_otc/R59552/pee-safe-toilet-seat-sanitizer-spray-75ml-pack-of-2-mintkills-999-germs-travel-friendly-2-1690436136.jpg?dim=700x0&dpr=1&q=100
Nua Sanitary Pads |Xl | 50 Pads,₹849,https://cdn01.pharmeasy.in/dam/products_otc/D13685/nua-sanitary-pads-l-pads-medium-flow-pack-of-50-2-1707895351.jpg?dim=700x0&dpr=1&q=100
Pee Safe - Toilet Seat Sanitizer Spray 300 Ml Washroom Pack - Mint,₹499,https://cdn01.pharmeasy.in/dam/products_otc/I39892/pee-safe-toilet-seat-sanitizer-spray-300-ml-washroom-pack-mint-2-1669710956.jpg?dim=700x0&dpr=1&q=100
Dermadew Vg Wash Lotion 100ml,₹240,https://cdn01.pharmeasy.in/dam/products_otc/I15199/dermadew-vg-wash-lotion-100ml-1-1669710220.jpg?dim=700x0&dpr=1&q=100
Pee Safe Intimate Powder For Women - 75 Gm,₹199,https://cdn01.pharmeasy.in/dam/products_otc/O42953/pee-safe-intimate-powder-for-women-75-gm-2-1671741460.jpg?dim=700x0&dpr=1&q=100
Bbold Womens Essential Care Combo Bbold Intimate Wash|Menstrual Cramp Patches|Acne Patch,₹948,https://cdn01.pharmeasy.in/dam/products_otc/R17033/bbold-womens-essential-care-combo-bbold-intimate-washmenstrual-cramp-patchesacne-patch-2-1737454821.jpg?dim=700x0&dpr=1&q=100
Plush 100% Reusable Menstrual Cup For Women With Cotton Pouch | Size Small | Stem For Easy Removal,N/A,https://cdn01.pharmeasy.in/dam/products_otc/J68365/plush-100-reusable-menstrual-cup-for-women-with-cotton-pouch-size-small-stem-for-easy-removal-2-1702386741.jpg?dim=700x0&dpr=1&q=100
Elastoderm Cream 50gm,₹561,https://cdn01.pharmeasy.in/dam/products_otc/226604/elastoderm-cream-50gm-1-1671740754.jpg?dim=700x0&dpr=1&q=100
Pee Safe Menstrual Cup (Small) & Bio Panty Liners Combo | Extra Comfort And Long Lasting Protection,₹548,https://cdn01.pharmeasy.in/dam/products_otc/G16058/pee-safe-menstrual-cup-small-bio-panty-liners-combo-extra-comfort-and-long-lasting-protection-2-1703830133.jpg?dim=700x0&dpr=1&q=100
